,Country,y_ratio,GDP_per_capita,Agricultural_land_per_capita,Percentage_with_basic_water_service,Prevalence_of_eating_disorder,Percentage_employed_in_agriculture,co2_per_agricultural_land_area
0,Albania,1.72565445026178,13317.1,0.00407280239078514,0.9440000000000001,0.14,0.015895529766003464,0.00040320897791549306
1,Armenia,1.6412172984516817,12715.1,0.0012933045277346488,0.99,0.13,0.009157239744272957,0.0015261296660117878
2,Australia,1.7778941854374017,49029.1,0.0006736644550969084,0.99,1.12,0.0013240340086284315,0.0248018243605795
3,Austria,1.9037570766855378,55258.4,0.40364361764643364,0.99,0.61,0.001794422757404557,1.854720740049318e-05
4,Azerbaijan,1.6881374127750939,14209.6,0.0026662848733564185,0.9470000000000001,0.15,0.017782737025853566,0.0013889695155739343
5,Barbados,1.5414046121593292,15615.7,0.16674225509349708,0.985,0.25,0.001383617080658666,2.5860445653311017e-05
6,Belarus,1.7260708619777896,18974.7,0.0014324078575082134,0.965,0.14,0.00585922519852972,0.004502363367799114
7,Belgium,1.9393627954779034,51139.1,0.0034401132885915394,0.99,0.48,0.0004117684969230581,0.0025373924050632914
8,Benin,1.5971014492753624,3160.8,0.010572888981182905,0.652,0.1,0.009496906191404727,5.9746355925224406e-05
9,Bosnia and Herzegovina,1.7213284898806436,14386.7,0.015132693869213211,0.961,0.14,0.003890847247338918,0.00043886679920477137
10,Brazil,1.742978272390037,14668.3,0.00010555245438529917,0.987,0.24,0.004009649871767374,0.021876300316598825
11,Bulgaria,1.5013068478829064,22206.1,0.011987333389112557,0.99,0.17,0.002940732683741727,0.0005162427540518159
12,Burkina Faso,1.5902777777777777,2117.8,0.11992973129184435,0.484,0.09,0.005904726261837982,1.8156964582069125e-06
13,Canada,1.8375,48962.5,2.6972673445079323e-06,0.99,0.47,0.0007481949886930553,5.794700000000001
14,Chad,1.3419203747072599,1576.3,0.037603712741541444,0.455,0.1,0.01954040796817259,1.793752792000275e-06
15,Chile,1.632392115077251,25034.9,0.0008062695370418523,0.99,0.39,0.004128437966751963,0.005589720143812668
16,Colombia,1.6315211422295441,14314.9,0.0031604241359668227,0.971,0.23,0.007524445311835496,0.0005408155463523416
17,Costa Rica,1.5984042553191489,20672.6,0.09899502804612434,0.99,0.25,0.005216421109311577,1.6612785904792693e-05
18,Cyprus,1.573930963420917,39977.0,0.01498828685352765,0.99,0.44,0.0007300325748237143,0.00041178120617110797
19,Czechia,1.6860824742268041,39933.0,0.00012365523095154093,0.99,0.21,0.0013907694015542753,0.08047210219074404
20,Denmark,1.743721168631471,56178.8,0.006124686659604936,0.99,0.52,0.0010769747768261883,0.0009841612262276467
21,Dominican Republic,1.5817984832069338,17711.8,0.015662717378427154,0.965,0.24,0.003985208824155722,0.00015438870531691198
22,Ecuador,1.4356379988757728,11561.7,0.0015408830064456613,0.9470000000000001,0.3,0.013123312784324378,0.001440417853751187
23,El Salvador,1.5175339366515836,8615.7,0.003783053043730162,0.976,0.21,0.007323377056227163,0.00026228900782214904
24,Estonia,1.6370636550308009,35097.7,0.04118184642527513,0.99,0.19,0.0016551352961230255,0.0003293869309838473
25,Finland,1.7145053818554588,48049.6,0.04741135518964398,0.99,0.53,0.0017022644287050357,0.00017510763788091853
26,France,1.8175640355462623,45284.0,0.0001515605847204281,0.99,0.51,0.0010231878154768192,0.032728121827411166
27,Georgia,1.5079197465681098,14253.4,0.005675819758747682,0.971,0.13,0.01646379941173326,0.000444762323943662
28,Germany,1.8273381294964028,53486.8,0.0034478558020786575,0.99,0.47,0.0006300399151074938,0.0026312259901396014
29,Greece,1.7386363636363635,29141.2,0.002256362806260718,0.99,0.48,0.004463030889608718,0.003024513520343695
30,Guatemala,1.4741176470588235,8462.2,0.0034460459317378345,0.932,0.19,0.013197802671821936,0.00031371082181534893
31,Guyana,1.6048699501936912,12477.6,0.049498913360213705,0.955,0.19,0.005125114408471298,6.434128630705394e-05
32,Honduras,1.511549295774648,5680.4,0.0013050816149280686,0.9470000000000001,0.17,0.012537085960576054,0.0008031968031968033
33,Hungary,1.7303719008264462,31121.7,0.003616790395716632,0.99,0.2,0.0022321911445395528,0.0014072344061520936
34,Iceland,1.8779608650875386,56818.2,0.15728575162156383,0.99,0.5,0.002367898975979472,6.916540785498489e-05
35,India,1.4277746793084216,6514.0,0.00046058000563613895,0.8959999999999999,0.13,0.011550152360161582,0.004173043338683788
36,Indonesia,1.6507847533632287,11371.7,0.006691642293422183,0.909,0.11,0.013898354006507106,0.00034328898408850727
37,Ireland,2.0330882352941178,83726.4,0.009371833945048182,0.9740000000000001,0.5,0.0022269519500511966,0.0008679140832595217
38,Italy,1.7905894519131333,42045.9,0.00030877185204127884,0.99,0.59,0.0014389032212689442,0.018644230769230767
39,Jamaica,1.46656050955414,9734.9,0.042267875086077565,0.909,0.2,0.006719246245041915,6.480451430874647e-05
40,Japan,1.4418729817007534,41739.2,3.490506106404588e-05,0.99,0.42,0.0017924220546401937,0.2575355855855856
41,Jordan,1.4389839867476533,10013.4,0.0010253557285956239,0.99,0.2,0.0007949968902158908,0.0024721080446271286
42,Latvia,1.7166400850611376,30050.7,0.022919830891057688,0.987,0.18,0.0032812175097137043,0.0001778054298642534
43,Lithuania,1.8043363299841353,35446.7,0.010036876131183356,0.98,0.18,0.0035248298093364795,0.00048712476881490965
44,Luxembourg,1.7613981762917934,115050.0,0.04877168825838569,0.99,0.62,0.00044352943512885527,0.00032466915507295554
45,Malaysia,1.581294181620446,27577.4,4.1727625642626494e-05,0.971,0.16,0.00498064674758978,0.20692540989213964
46,Mali,1.6808634772462077,2283.7,0.0010158427437692357,0.7929999999999999,0.09,0.019645921669194218,0.0001888544891640867
47,Malta,1.7511639937920331,44602.8,2.1972658250902097,0.99,0.46,0.0005409158689144119,1.593518173152638e-06
48,Mauritius,1.6166134185303513,22208.1,0.00997487342011894,0.99,0.14,0.002658729908205912,0.00035712025316455697
49,Mexico,1.7218902770233568,19928.4,0.0032649769415807736,0.99,0.26,0.00540965020076268,0.0011050896822892649
50,Mongolia,1.5925306577480491,12028.6,3.274226913388181e-05,0.836,0.14,0.010538752273505828,0.45796724470134875
51,Montenegro,1.8349056603773586,20686.6,0.20820703309796226,0.985,0.16,0.0030326392196278135,1.836083633609511e-05
52,Myanmar,1.5889261744966443,4467.9,4.7813824585377055e-05,0.7959999999999999,0.1,0.02022001397325509,0.012725856697819315
53,Namibia,1.4149543378995433,10087.5,0.4633133194461463,0.836,0.17,0.006668504676714455,3.594192166300812e-06
54,Netherlands,1.6800202839756593,56060.9,5.041161671227159e-05,0.99,0.42,0.0009775633134735011,0.18490697674418605
55,New Zealand,1.6834381551362683,42862.1,0.018070342143196128,0.99,0.67,0.003293183342395561,0.00041755921129389803
56,North Macedonia,1.587012987012987,16145.5,0.18632165714414653,0.976,0.15,0.005262326586674616,1.8098428240144292e-05
57,Norway,1.7471852610030707,64341.3,0.003413288971816949,0.99,0.51,0.0010582319837540931,0.002440669593852909
58,Oman,1.5272161741835149,32594.7,0.002042209134075829,0.915,0.28,0.0017893245561216168,0.006146023441619013
59,Pakistan,1.4099485420240137,5294.2,0.0004946560187113227,0.899,0.13,0.010541807697190679,0.0022700133358735
60,Panama,1.6804932735426008,31039.1,0.0034951786841240853,0.9390000000000001,0.3,0.006352032192542353,0.0007350553808848612
61,Paraguay,1.5142231947483589,12827.7,0.05312339483694023,0.99,0.23,0.009555900034919148,2.3026547235677755e-05
62,Peru,1.5583472920156338,12781.4,0.0006855424566478019,0.92,0.31,0.014490460643892237,0.0024919744642042862
63,Philippines,1.5595647193585338,8516.1,0.002315824344796175,0.9329999999999999,0.11,0.009374699019399578,0.0005694981199128419
64,Poland,1.8390446521287642,31674.1,0.003326337844959219,0.99,0.2,0.004160474942185959,0.002671571270017441
65,Portugal,1.803030303030303,34040.7,0.014149501101383438,0.99,0.46,0.0028681210336155955,0.00035482359426681364
66,Romania,1.8735632183908046,28523.5,0.0019019465182960622,0.99,0.17,0.009935927768273635,0.002091910587230938
67,Rwanda,1.2877822814128546,2088.7,0.013662154407965098,0.596,0.1,0.010362129834663053,6.794731286822148e-06
68,Saudi Arabia,1.7661505605979713,47630.0,0.003980089936858576,0.99,0.29,0.0009935389260154273,0.004636596093633517
69,Serbia,1.4772845953002611,17452.8,0.0020581089458385745,0.945,0.15,0.0051232337745708975,0.002443064525031738
70,Seychelles,1.68489442338928,28740.5,17.87916008198241,0.963,0.16,0.0018662327229282962,3.208600812430745e-07
71,Slovenia,1.6628332462101412,37984.1,0.005754544632011381,0.99,0.2,0.0025703664774313277,0.001212176967466756
72,South Africa,1.5591397849462365,13875.9,0.0006033652797974548,0.9309999999999999,0.17,0.001482778394158967,0.013312102093490106
73,Spain,1.7384295371814873,40257.0,0.00013106927859469063,0.99,0.65,0.0017402016719299976,0.04407075163398693
74,Sri Lanka,1.553932584269663,12860.3,0.0014133609311142055,0.922,0.12,0.009627024847423966,0.0006998423538273358
75,Sweden,1.6374419804022693,52349.3,1.5544098607750187e-06,0.99,0.56,0.0008817515290880227,2.7158064516129032
76,Switzerland,1.723469387755102,70597.3,0.05892596122695679,0.99,0.54,0.0016248800379655942,7.338667940602732e-05
77,Thailand,1.4792993630573248,18101.5,0.003285396408642589,0.99,0.14,0.017526368438900614,0.0012107715914072776
78,United Arab Emirates,1.4919236417033774,66968.2,0.01473455518376869,0.99,0.31,0.0010975326877906122,0.0010866476872339827
79,Uruguay,1.7184309511015583,23035.1,0.07398711039083405,0.99,0.38,0.003963859229000751,2.5748129920102818e-05
80,Uzbekistan,1.7555797495917256,7082.9,0.029665079372508486,0.978,0.12,0.010891657628261801,0.00011908948422789881
